UNIQUE_KEY,SANMAR_MAINFRAME_COLOR
508743,Light Blue
508754,Light Blue
508763,Purple
508774,Purple
508783,Forest
508794,Forest
508804,Maroon
533612,Safety Green
533613,Safety Green
533614,Safety Green
533615,Safety Green
533621,Safety Green
533632,Safety Green
533643,Safety Green
533654,Safety Green
533662,S Orange
533663,S Orange
533664,S Orange
533665,S Orange
533671,S Orange
533682,S Orange
533693,S Orange
533704,S Orange
537752,Kiwi
537753,Kiwi
537754,Kiwi
537755,Kiwi
570032,Cherry Red
570033,Cherry Red
570034,Cherry Red
570035,Cherry Red
570041,Cherry Red
570052,Cherry Red
570061,Kiwi
570072,Kiwi
570082,Sky
570083,Sky
570084,Sky
570085,Sky
570091,Sky
627282,Azalea
627293,Azalea
627304,Azalea
627442,Heliconia
627453,Heliconia
627464,Heliconia
627502,Sky
627513,Sky
627524,Sky
627532,Tangerine
627543,Tangerine
627554,Tangerine
627593,Blue Dusk
627604,Blue Dusk
627613,Cardinal Red
627624,Cardinal Red
627633,Carolina Blue
627644,Carolina Blue
627653,Cherry Red
627664,Cherry Red
627673,Chestnut
627684,Chestnut
627693,Daisy
627704,Daisy
627713,Dark Chocolate
627724,Dark Chocolate
627733,Dark Heather
627744,Dark Heather
627753,Ice Grey
627764,Ice Grey
627773,Indigo Blue
627784,Indigo Blue
627793,Iris
627804,Iris
627813,Irish Green
627824,Irish Green
627833,Jade Dome
627844,Jade Dome
627853,Kelly Green
627864,Kelly Green
627873,Kiwi
627884,Kiwi
627893,Light Pink
627904,Light Pink
627913,Lime
627924,Lime
627933,Metro Blue
627944,Metro Blue
627953,Natural
627964,Natural
627973,Olive
627984,Olive
627993,Orange
628004,Orange
628013,Prairie Dust
628024,Prairie Dust
628033,Sand
628044,Sand
628053,Sapphire
628064,Sapphire
628073,Stone Blue
628084,Stone Blue
628093,Tan
628104,Tan
628113,Texas Orange
628124,Texas Orange
663622,Hthr Cardinal
663623,Hthr Cardinal
663624,Hthr Cardinal
663625,Hthr Cardinal
663641,Hthr Cardinal
663652,Hthr Cardinal
663663,Hthr Cardinal
663674,Hthr Cardinal
663682,Hthr Indigo
663683,Hthr Indigo
663684,Hthr Indigo
663685,Hthr Indigo
663691,Hthr Indigo
663702,Hthr Indigo
663713,Hthr Indigo
663724,Hthr Indigo
663732,Hthr Navy
663733,Hthr Navy
663734,Hthr Navy
663735,Hthr Navy
663741,Hthr Navy
663752,Hthr Navy
663763,Hthr Navy
663774,Hthr Navy
663782,Hthr Sapphire
663783,Hthr Sapphire
663784,Hthr Sapphire
663785,Hthr Sapphire
663791,Hthr Sapphire
663802,Hthr Sapphire
663813,Hthr Sapphire
663824,Hthr Sapphire
664032,Pistachio
664043,Pistachio
664054,Pistachio
664063,Vegas Gold
664074,Vegas Gold
703502,Galapagos Blue
703503,Galapagos Blue
703504,Galapagos Blue
703505,Galapagos Blue
703511,Galapagos Blue
703522,Galapagos Blue
703533,Galapagos Blue
703544,Galapagos Blue
703552,Safety Pink
703553,Safety Pink
703554,Safety Pink
703555,Safety Pink
703561,Safety Pink
703572,Safety Pink
703583,Safety Pink
703594,Safety Pink
703602,Antqu Chry Red
703603,Antqu Chry Red
703604,Antqu Chry Red
703605,Antqu Chry Red
703611,Antqu Chry Red
703622,Antqu Chry Red
703633,Antqu Chry Red
703644,Antqu Chry Red
703652,Antique Royal
703653,Antique Royal
703654,Antique Royal
703655,Antique Royal
703661,Antique Royal
703672,Antique Royal
703683,Antique Royal
703694,Antique Royal
703702,Antqu Irish Gn
703703,Antqu Irish Gn
703704,Antqu Irish Gn
703705,Antqu Irish Gn
703711,Antqu Irish Gn
703722,Antqu Irish Gn
703733,Antqu Irish Gn
703744,Antqu Irish Gn
704102,Orchid
704103,Orchid
704104,Orchid
704105,Orchid
704111,Orchid
704122,Orchid
704133,Orchid
704144,Orchid
912332,Mint Green
912333,Mint Green
912334,Mint Green
912335,Mint Green
912341,Mint Green
912352,Mint Green
912363,Mint Green
912374,Mint Green
1028122,Cornsilk
1028123,Cornsilk
1028124,Cornsilk
1028125,Cornsilk
1028131,Cornsilk
1028142,Cornsilk
1028153,Cornsilk
1028164,Cornsilk
254971,White
254972,White
254973,White
254974,White
254975,White
254981,Ash
254982,Ash
254983,Ash
254984,Ash
254985,Ash
254991,Sport Grey
254992,Sport Grey
254993,Sport Grey
254994,Sport Grey
254995,Sport Grey
255011,Black
